,uuid,multiple_session_conducted,test_group
667,159914,False,test
668,1599902,False,test
669,1599999,False,test
670,1600028,False,test
671,1600279,False,control
672,1600467,False,test
673,1601477,False,control
674,1601828,False,test
675,1603777,False,control
676,1603876,False,control
677,1605266,False,control
678,1606004,False,control
679,1606949,False,control
680,1607105,False,test
681,1607231,False,control
682,1607263,False,test
683,1607592,False,control
684,1607656,False,test
685,1607983,False,test
686,160861,False,test
687,1608753,False,test
688,1609611,True,control
689,1609799,False,test
690,1610593,False,control
691,1610630,False,test
692,1610657,False,control
693,1611894,False,test
694,1612050,False,test
695,1612842,False,test
696,1613238,False,control
697,1615636,False,control
698,1616843,False,test
699,161730,False,test
700,1618198,False,test
701,1618898,False,control
702,1619145,False,control
703,1619558,False,control
704,1620290,False,test
705,1620973,False,control
706,1621786,False,control
707,1622002,False,control
708,1622547,False,control
709,1623208,False,control
710,1624368,False,control
711,1628768,False,control
712,1629806,False,control
713,1634047,False,test
714,1634713,False,control
715,1635129,False,test
716,1637477,False,test
717,1639030,False,test
718,163926,False,control
719,1640321,False,control
720,1640958,False,test
721,1644237,False,test
722,1644671,False,test
723,1644916,True,control
724,1644939,True,control
725,164595,False,test
726,1646388,False,control
727,1651018,False,control
728,1651353,False,control
729,1652687,False,control
730,1653336,False,test
731,1654068,False,control
732,1654814,False,control
733,1655052,False,test
734,1655124,False,control
735,1655512,False,control
736,1655757,False,test
737,1656764,False,test
738,165711,True,control
739,1657935,False,test
740,1661291,False,test
741,16614,False,control
742,1664116,False,control
743,1664374,False,test
744,1664964,False,test
745,1665857,False,control
746,1666777,False,test
747,1667367,False,control
748,1668321,False,test
749,1668841,False,control
750,1668940,False,test
751,1671060,False,test
752,1671083,False,control
753,1672600,False,control
754,1675782,False,control
755,1675858,False,control
756,1676034,False,control
757,1678177,False,control
758,1679380,False,test
759,1679507,False,test
760,167958,False,control
761,1680421,False,test
762,1680677,False,control
763,168190,False,test
764,1682343,False,control
765,1682389,False,control
766,1686151,False,control
767,1686414,True,control
768,1687989,False,control
769,1688146,False,control
770,1689003,False,control
771,1689693,False,control
772,1690154,False,control
773,1691334,True,control
774,1692791,False,test
775,1693860,False,control
776,1695513,False,test
777,1695531,False,control
778,1695730,False,test
779,1697788,True,control
780,1698138,False,control
781,1698453,False,control
782,1700020,False,test
783,1700791,False,test
784,1701532,True,control
785,1702413,False,test
786,1703123,True,control
787,1703710,False,test
788,1703892,False,control
789,1705753,True,control
790,1706112,False,test
791,1707088,False,test
792,1707395,False,control
793,1707871,True,control
794,1709108,False,control
795,1709275,False,test
796,1709698,False,control
797,1710190,False,test
798,171277,False,control
799,171299,False,control
800,1713572,False,control
801,1713601,False,test
802,1714862,False,test
803,1715498,False,control
804,1716479,False,control
805,1716924,False,test
806,1717470,False,test
807,1717964,False,test
808,1718515,False,control
809,1718929,False,control
810,1720125,False,test
811,1720407,False,test
812,1720710,True,control
813,1721056,False,control
814,172171,False,control
815,1721882,False,control
816,1721948,False,test
817,1723935,False,test
818,172424,False,test
819,1725113,False,test
820,172760,False,control
821,1728311,False,test
822,1729842,False,control
823,1730062,True,control
